seconds,rpm,speed_mps,boost_bar,turbo_speed,throttle,shaft_nm,afr,oil_c,oil_bar,engine_health,blower_kw
0.05,869.6,0.000,0.0000,0.0000,0.2684,23.67,14.70,90.02,1.49,100.000,0.000
0.10,912.9,0.000,0.0000,0.0000,0.4647,40.36,14.70,90.05,1.52,100.000,0.000
0.15,973.1,0.001,0.0000,0.0000,0.6084,53.91,14.70,90.08,1.57,100.000,0.000
0.20,1022.8,0.027,0.0000,0.0000,0.7135,67.99,14.70,90.11,1.61,100.000,0.000
0.25,1058.0,0.083,0.0000,0.0000,0.7904,78.91,14.70,90.15,1.64,100.000,0.000
0.30,1083.5,0.162,0.0000,0.0000,0.8466,87.11,14.70,90.19,1.66,100.000,0.000
0.35,1102.1,0.257,0.0000,0.0000,0.8878,93.24,14.70,90.23,1.68,100.000,0.000
0.40,1115.8,0.363,0.0000,0.0000,0.9179,97.79,14.70,90.27,1.69,100.000,0.000
0.45,1125.9,0.479,0.0000,0.0000,0.9399,101.16,14.70,90.32,1.70,100.000,0.000
0.50,1133.4,0.601,0.0000,0.0000,0.9561,103.66,14.70,90.36,1.71,100.000,0.000
0.55,1138.9,0.728,0.0000,0.0000,0.9679,105.50,14.70,90.40,1.71,100.000,0.000
0.60,1143.0,0.858,0.0000,0.0000,0.9765,106.85,14.70,90.45,1.71,100.000,0.000
0.65,1146.0,0.991,0.0000,0.0000,0.9828,107.84,14.70,90.49,1.72,100.000,0.000
0.70,1148.2,1.125,0.0000,0.0000,0.9874,108.57,14.70,90.54,1.72,100.000,0.000
0.75,1149.9,1.262,0.0000,0.0000,0.9908,109.11,14.70,90.58,1.72,100.000,0.000
0.80,1151.0,1.399,0.0000,0.0000,0.9933,109.50,14.70,90.62,1.72,100.000,0.000
0.85,1151.9,1.537,0.0000,0.0000,0.9951,109.79,14.70,90.67,1.72,100.000,0.000
0.90,1152.6,1.675,0.0000,0.0000,0.9964,110.00,14.70,90.71,1.72,100.000,0.000
0.95,1153.0,1.814,0.0000,0.0000,0.9974,110.15,14.70,90.76,1.72,100.000,0.000
1.00,1153.4,1.953,0.0000,0.0000,0.9981,110.26,14.70,90.80,1.72,100.000,0.000
1.05,1153.6,2.093,0.0000,0.0000,0.9986,110.35,14.70,90.84,1.72,100.000,0.000
1.10,1153.8,2.232,0.0000,0.0000,0.9990,110.41,14.70,90.89,1.72,100.000,0.000
1.15,1153.9,2.372,0.0000,0.0000,0.9992,110.45,14.70,90.93,1.72,100.000,0.000
1.20,1154.0,2.512,0.0000,0.0000,0.9994,110.48,14.70,90.98,1.72,100.000,0.000
1.25,1154.1,2.651,0.0000,0.0000,0.9996,110.51,14.70,91.02,1.72,100.000,0.000
1.30,1154.2,2.791,0.0000,0.0000,0.9997,110.52,14.70,91.06,1.72,100.000,0.000
1.35,1157.0,2.928,0.0000,0.0000,0.9998,110.54,14.70,91.11,1.72,100.000,0.000
1.40,1191.5,3.033,0.0000,0.0000,0.9998,112.21,14.70,91.15,1.75,100.000,0.000
1.45,1231.0,3.136,0.0000,0.0000,0.9999,114.56,14.70,91.19,1.78,100.000,0.000
1.50,1271.4,3.240,0.0000,0.0000,0.9999,116.98,14.70,91.24,1.81,100.000,0.000
1.55,1312.7,3.347,0.0000,0.0000,0.9999,119.45,14.70,91.28,1.84,100.000,0.000
1.60,1354.9,3.457,0.0000,0.0000,1.0000,121.97,14.70,91.32,1.88,100.000,0.000
1.65,1398.0,3.569,0.0000,0.0000,1.0000,124.54,14.70,91.37,1.91,100.000,0.000
