rpm,torque_nm,power_kw
800,121.79,10.20
1000,141.13,14.78
1200,157.50,19.79
1400,173.88,25.49
1600,189.37,31.73
1800,197.40,37.21
2000,205.42,43.02
2200,222.93,51.36
2400,250.99,63.08
2600,282.12,76.81
2800,314.27,92.15
3000,347.69,109.23
3200,382.84,128.29
3400,419.76,149.45
3600,458.49,172.85
3800,494.99,196.97
4000,529.72,221.89
4200,565.47,248.71
4400,576.37,265.57
4600,586.79,282.66
4800,595.51,299.33
5000,600.37,314.35
5200,605.21,329.56
5400,610.02,344.96
5600,611.76,358.76
5800,610.25,370.65
6000,605.04,380.16
6200,599.83,389.44
6400,585.28,392.26
6600,557.91,385.60
6800,0.00,0.00
